职位名,学历要求,工作年限,公司名,公司地址,薪资,岗位描述
Python（AI人工智能）开发实习生,大专,不限,北京百知教育科技有限公司,北京中关村软件园,8千-1.6万,【任职资格】：1、计算机相关专业、专科及以上学历；2、坚实的计算机基础，对人工智能（机器学习和深度学习）有充分的好奇心和探索欲3、有一定的英文文档阅读能力，熟悉C语言、Java、.Net、PHP或Python编程，任意一门语言者优先；4、勇于面对挑战，乐于思考和学习，有独立解决问题的能力；【薪金福利】：1：富有竞争力的薪酬水平和其他福利津贴2：首月入职12K起，健全的五险一金3：给予完善的绩效考核，年终奖金及定期调薪4：完善的培养体系和晋升机制5：带薪休假（年假，婚假，丧假，病假，培训假等）北京中关村软件园欢迎您！
Python研发高级工程师,本科,3-5年,深圳市云盾科技有限公司,新区大道1号梅龙阁308,1.5万-2.5万,"负责物联网安全运行相关产品研发（工资15k—25k，期权激励）。1、3年以上Python研发工作经验，本科以上学历，计算机相关专业，30岁以下。2、熟练使用Python，常用数据结构3、熟悉Python多进程模块4、熟悉通过Python操作MySql， Redis， Http5、熟悉网络协议NMAP，SNMP及MIB, Onvif，STP6、有物联网终端探测扫描相关工作经验，尤其是电力物联网终端或视频监控等相关工作经验优先。"
Python工程师,大专,1-3年,深圳捷盟网络科技有限公司,深圳市宝安区西乡街道旭生大厦六栋综合楼八楼811,1.5万-3万,"岗位职责：1、负责棋牌游戏服务器端架构、功能开发以及服务器日常维护；2、负责性能、网络、数据等方面的优化；3、保证服务端的稳定性、可扩展性、安全性和效率。岗位要求：1、两年以上互联网服务器端开发经验，代码风格良好；2、熟练掌握Python语言及相关的库，熟悉linux环境；3、熟悉Twisted,有相关开发经验者优先；4、熟悉多线程、多进程、socket、数据库等相关技术；5、具备高并发流量下的请求处理经验；6、有能阅读英文文档并解决工作中遇到的问题的能力；7、有强烈的求知欲,有较强的团队合作精神。"
python爬虫工程师,本科,1-3年,深圳斯达领科网络科技有限公司,深圳市龙岗区深圳市龙岗区坂田街道五和大道南2号万科星火ONLINE天璇仓 7栋 227室,7千-1.1万,岗位职责：（爬虫与数据分析结合）1. 负责公司爬虫系统的架构设计与开发；2. 开发、维护爬虫系统，包括调度、抓取、维护、验证等爬虫工作；3. 负责网络数据源（网站、APP等）进行数据抓取，为业务部门提供数据支持；4. 负责抽取算法设计，保证抽取、去重、分类、解析、增量融合入库等流程之后的数据结果。任职要求：1. 计算机、信息管理、数学、统计学相关专业，大专及以上学历；2. 一年以上实际爬虫开发、内容提取工作经验，有良好的编码习惯；3. 精通Python，熟练掌握一种开源爬虫框架，如scrapy、webmagic，有研发爬虫框架经验者优先；4. 熟悉Javascript、HTML、CSS、正则表达式、Path等信息抽取技术熟悉抓包分析请求并模拟；5. 熟悉Selenium、Appium等技术；6. 善于独立分析并解决核心问题，如JavaScript反爬、爬虫策略、防屏蔽规则、验证码识别技术等，能独立解决实际开发过程碰到的各类问题；7. 熟悉oracle、mysql、mongodb等数据库的常规使用；8. 对技术热衷，责任感强，具有良好的团队合作精神。
RPA软件售前工程师（Python）,大专,1-3年,上海艺赛旗软件股份有限公司,客户现场,7千-1万,职位信息1. 负责机器人流程自动化RPA产品的售前支持工作；2. 负责支持销售人员完成客户需求交流、PPT演讲及产品Demo演示、编写技术方案、产品POC测试以及整个投标过程；3. 负责售前阶段文档资料的编写：包括公司资料、可行性报告、技术建议书、项目规划建议等；4. 根据典型客户的应用场景，进行价值提炼与分析，提出产品优化的建议；5. 负责面向客户、内部员工与渠道合作伙伴的产品和案例培训；6. 完成上级领导交给的其他工作任务；岗位任职资格：1. 本科以上学历，计算机相关专业，熟悉python优先；2. 具有2年以上软件产品售前工作经验，了解运营商、金融相关行业的业务和IT环境；3. 熟悉安全技术、网络知识，能安装操作Linux、UNIX等操作系统，了解常见数据库系统；4. 熟练使用售前工具：Word、PPT、Visio、Project等；5. 形象良好、语言表达和思维逻辑清晰、书面表达能力强、演讲能力强。6. 能够适应出差的工作安排。
python开发工程师,本科,3-5年,深圳市大寰机器人科技有限公司,深圳市深圳虚拟大学园院校产业化综合楼A401,1万-1.5万,岗位职责1.系统业务逻辑设计;2.数据存储和处理消息队列处理;3.系统后端接口设计与对接；4.服务接口设计与开发，5.系统部署与项目交付。任职要求：1.本科以上学历，软件数学开发相关专业，三年以上Python项目开发经验；2.精通Python，熟悉Django开发框架；3.精通SQL语言.熟悉MySQL.MongoDB.Hbase.OpenTSDB多个数据库设计（至少包含一种NoSQL）；4.具备数据算法设计能力；5.熟悉数据集群设计与规划。
Python 开发/运维/自动化测试/包住,不限,不限,深圳市创联测试技术有限公司,深圳市南山区科技园大冲商务中心C座20楼,3.5千-7千,岗位职责：1、协助设计、开发、维护爬虫系统及数据抓取；2、收集竞争对手数据并分析优劣势；3、参与新平台开发；4、协助编写接口。任职要求：1、大专以上学历，理工科专业优先，条件优秀者可释放放宽；2、喜欢互联网，愿意与公司一起发展；3、责任心强、团队合作意识，良好的沟通能力、思路清晰、学习能力。公司福利1、5天7小时制，六险一金；2、每周三、周五下午茶福利；3、法定节假日有对应节假日福利；4、一年一次国内游，一次国外游；5、年终奖丰厚，转正员工至少1个月工资；6、18、19届实习生或储备技术人才岗有300/月的餐补，可向公司申请免费住宿。
python开发工程师,本科,3-5年,深圳合生网络科技有限公司,华强北,1.5万-2万,1、3年以上Python以及Django开发工作经验，熟悉Oracle数据库;2、2年以上数据采集，有金融工程项目经验;3、对算法和数据结构比较了解，并能灵活运用者优先;4、良好的自我驱动与学习能力。
python工程师,本科,1-3年,杭州同帆科技有限公司,威新软件园,1万-1.5万,1、本科及以上学历，2年以上python相关经验； 2、有独立开发经验，有扎实的编程功底、良好的编程习惯。 3、工作耐心，善于学习，有证券相关经验的优先； 4、特别匹配的大专也考虑；
python开发工程师,本科,3-5年,上海易宝软件有限公司深圳分公司,深圳市龙岗区金荣达科技工业园3栋4楼,1.2万-2万,1、3年以上python开发经验；2、熟练使用基本的数据结构和算法，深入理解多进程、多线程、网络编程等相关技术；3、熟练掌握Django、Tornado、Flask等主流框架，深入理解框架实现原理及特性；4、熟悉Python的高级特性，深入理解各种设计模式和应用场景；熟悉Python的性能分析和优化；5、熟悉Internet常用协议，如HTTP、TCP/IP、熟悉RESTful规范；6、熟悉分布式、缓存、消息等机制者优先；7、具有良好的沟通能力、团队合作能力和学习能力；8、熟悉云计算及虚拟化技术者优先；9、本科及以上学历；
Python开发工程师,本科,1-3年,深圳市炫彩酷游科技有限公司,深圳市南山区高新中三道9号环球数码大厦B区10楼,6千-1万,"岗位职责：1. 负责公司各个网站系统平台建设2. 负责各个平台的日常维护任职要求：1. 大专及以上学历，计算机相关专业2. 熟练使用pythong，熟悉Django、webpy、flask等框架，构建过nginx+uWSGI+python的web-services者优先；3. 熟悉linux，shell基本命令4. 开发过爬虫相关优先，具备快速分析问题解决问题的能力5. 有强烈的上进心和求知欲，善于学习和运用新知识, 保持对新技术的热情福利待遇：5险1金+重大意外险+全勤奖+季度团建+运动健身补贴+下午茶+加班零食+项目奖金+年终奖+带薪年假+各种节日礼品+结婚礼金+生育礼金+ 各种国家法定假日+组织外出旅游聚餐等 。"
python工程师,本科,3-5年,深圳市无极云区块链互联网技术开发有限公司,深圳市南山区高新北六道银河风云大厦201室,1万-2万,工作职责：1. 负责量化交易平台的核心模块设计与实现，包括不限于平台基础架构、安全、数据、交易所对接等功能模块；2. 新技术的调研与应用。职位要求：1.统招本科及以上学历，3年以上开发工作经验，一线的编码能力，互联网行业优先，良好的与人沟通能力；2.熟悉Linux系统管理知识，密码学优先，了解各种主流服务器的配置和部署方法；3.精通Python；4.具备良好的沟通表达能力，勇于承担责任，能够尽快融入团队和开发工作中。
Python算法实习生,大专,不限,深圳市腾尚时代互联网科技有限公司,龙华新区金荣达科技工业园,8千-1万,岗位职责：1.根据需求构建机器学习的框架，参与设计机器学习的模型并分析训练和测试的数据；2.协助部分算法组件的开发工作，并集成到产品中；3.协助对相关机器学习算法进行改进和优化，负责算法文档的整理、更新及归档；4.协助测试工程师一起完成算法及策略的测试、评测工作；5.紧跟当前人工智能最新发展技术，在项目经理的指导下巩固加强基础的机器学习算法，并对人工智能相关的预研工作。岗位要求：1.大专及以上学历，理工类专业优先考虑，如计算机、自动化、电子、数学等；2.对人工智能、机器学习有一定的了解，具有较强的逻辑思维能力；3.学习能力强，热爱算法并能长期从事人工智能相关的技术开发工作；4.接受一定经验的转行者（需要经过公司项目组考核）（欢迎应届毕业生加入），公司愿意培养新人；福利待遇：1、周末双休，每天7小时上班时间，无夜班，不加班。2、大量有奖金项目可做，能力强者可不限量接受奖金项目，3、公司为员工购买五险一金，定期组织员工生日会、野外游玩等活动，提供良好的晋升机制，广阔的晋升空间。
python工程师,本科,1-3年,康美中药材数据信息服务有限公司,福田区深南大道大中华金融中心A座3楼3DE,8千-1.2万,岗位职责：1.负责公司爬虫系统的架构设计与开发；2.开发、维护爬虫系统，包括调度、抓取、维护、验证等爬虫工作；3.负责网络数据源（网站、APP等）进行数据抓取，为业务部门提供数据支持；4.负责抽取算法设计，保证抽取、去重、分类、解析、增量融合入库等流程之后的数据结果；5. 完成临时交代任务。任职要求：1.计算机、信息管理、数学、统计学相关专业，大专及以上学历；2.一年以上实际爬虫开发、内容提取工作经验，有良好的编码习惯；3.精通Python，熟练掌握一种开源爬虫框架，如scrapy、webmagic，有研发爬虫框架经验者优先；4.熟悉Javascript、HTML、CSS、正则表达式、Path等信息抽取技术熟悉抓包分析请求并模拟；5.熟悉Selenium、Appium等技术；6.善于独立分析并解决核心问题，如JavaScript反爬、爬虫策略、防屏蔽规则、验证码识别技术等，能独立解决实际开发过程碰到的各类问题；7.熟悉oracle、mysql、mongodb等数据库的常规使用；8.对技术热衷，责任感强，具有良好的团队合作精神。福利待遇：1.薪资待遇：具有竞争力的薪酬和值得您期待的中长期回报；2.福利体系：五险一金、法定节假日、带薪年假、年底双薪；3.上班时间：每天7.5小时工作制，每周五天班，周末双休。
python开发工程师,大专,3-5年,深圳市瑞驰信息技术有限公司,深圳市南山区桃源街道学苑大道1001号南山智园B1栋17楼,1万-2万,1. 精通python语言，至少精通 Django、Tornado 等框架中的一种2. 熟悉MVC三层架构，有性能优化、后台集群架构的实践经验3. 熟悉HTML、CSS、JavaScript等前端开发技术4. 有使用JQuery、ExtJS等JS类库或框架的开发经验5. 熟悉HTTP协议，熟悉REST API实现优先6、熟悉Linux Shell或其他脚本语言编程优先7、熟悉软件开发流程、设计模式、体系结构，具备一定的需求分析和系统设计的能力；
python开发工程师,大专,3-5年,深圳市贝多分金融科技有限公司,深圳市福田区车公庙雪松大厦A座6E,1.5万-2万,"岗岗位职责：1.负责设计和开发分布式的网络爬虫应用，进行互联网相关信息的抓取和分析；2.负责网页信息抽取技术的研究和开发；3.负责解决爬取过程中的各种反爬问题；任职要求：1， 大专以上学历，3年以上互联网金融产品开发工作经验，带过团队的经验；2. 熟悉APP的爬取流程，对APP的请求加密参数有破解经验。3. 熟练使用常用的爬虫工具库或框架。4. 熟练使用任意一种Web框架，Flask加分,使用过ElasticSearch的加分。5. 对asyncio模块有基本的了解。6. 了解JS加密参数的破解流程。"
python数据工程师,大专,3-5年,深圳非常牛物流科技有限公司,比克科技大厦2301-J,1.5万-2万,岗位职责1、负责物流平台数据的挖掘、清洗、整合；2、负责公司系统数据库的设计和优化；3、负责公司产品数据的收集、分析等任职要求1、精通 Python 编程，具有扎实的开发经验；3、熟悉常用数据结构和算法，精通 Linux 操作系统；4、具备优秀的分析问题、解决问题能力；5、思维敏捷，有良好的沟通交流能力，主动好学；6、有数据挖掘、机器学习工作经验者优先
Python开发工程师,大专,1-3年,深圳职人网络技术有限公司,福田,8千-1.5万,工作内容1、参与软件工程系统的设计、开发、测试等过程。2、协助项目管理者保证项目的质量。3、负责工程中主要功能的代码实现。4、解决项目中的问题和技术难题。工作要求1、计算机具有实际开发经验2年以上（优秀应届生亦可）。2、熟练使用基本的数据结构和算法，深入理解多进程、多线程、网络编程等相关技术。3、熟练掌握Django、Tornado、Flask等主流框架，深入理解框架实现原理及特性。4、熟悉Python的高级特性，深入理解各种设计模式和应用场景；熟悉Python的性能分析和优化。5.熟悉Internet常用协议，如HTTP、TCP/IP、熟悉RESTful规范。6.有独立分析和解决问题的能力，有良好的团队合作精神。7、英语或日语其中之一必须熟练，要求能阅读书写英文技术文档和一定的业务交流。-----------------------------------------------------------联系人：职人网电话：*************邮箱：***************更多职位请猛戳我→http://www.zhiren.ren/
AI人工智能（Python）开发实习生,大专,不限,中青才智教育投资(北京)有限公司,北京中关村软件园,8千-1.6万,【任职资格】：1、计算机相关专业、专科及以上学历；2、对人工智能（AI）开发有充分的好奇心和探索欲3、勇于面对挑战，乐于思考和学习，有独立解决问题的能力；【薪金福利】：1：富有竞争力的薪酬水平和其他福利津贴2：首月入职10K起，健全的五险一金3：给予完善的绩效考核，年终奖金及定期调薪4：完善的培养体系和晋升机制5：带薪休假（年假，婚假，丧假，病假，培训假等）北京中关村软件园欢迎您！
python,本科,3-5年,深圳华云声信息技术有限公司,南山区深南大道高新技术工业村W2栋A区3层（深大地铁C口）,1.5万-2万,职位描述：1、负责爬虫系统的架构设计，系统搭建；2、研究分析目标对象，对爬取的数据进行加工处理（清洗、存储、检索等）；3、设计爬取、调度和抽取算法，优化爬虫策略和防屏蔽规则，提升抓取的效率和质量；4、及时解决爬取过程中出现的问题并不断优化程序；5、入职后期会着手公司新产品的web后端开发任务。关键胜任要求：1、计算机软件相关专业，本科及以上学历；2、至少精通java、Python、C#一门开发语言、精通SQL、有相关非结构化数据库开发经验；3、熟悉多线程、网络通信编程，擅长数据结构分析，熟悉高并发、高性能的分布式系统的设计及应用；4、精通至少一种开源爬虫框架（如scrapy、webmagic、nutch、heritrix等），有开发爬虫框架经验优先；熟悉反爬虫、验证码识别技术者优先；5、具备较强团队合作与敬业精神，富于创新，拥有较强的研究能力、学习能力与执行能力。
python开发工程师,大专,3-5年,深圳市瑞云科技有限公司,南山区阳光科创中心B座17层,1万-2万,岗位职责：1、负责公司渲染流程的代码设计和开发维护；2、负责业务需求分析，将业务需求拆分成独立的业务功能，并负责相关的开发等工作；3、负责现有python项目的维护，新功能开发、完善、重构、以及项目整合；4、自主分析发现现有代码、架构上存在的问题并优化，提升性能、效率及扩展性；5、熟悉RESTful，并负责SDK维护、设计及开发。岗位要求：1、计算机或相关专业，Python语言基础知识扎实，四年以上Python开发经验；2、熟悉Linux/windows平台环境的开发，并掌握常用命令；3、熟悉软件开发流程，具备独立开发调试，测试等实践能力；4、有实际项目经验，有极客精神，追求高质量的编码；5、有CG行业从业经验优先；6、能承受一定强度的工作压力。
python开发工程师,本科,3-5年,深圳市环球易购电子商务有限公司,深圳市南山区深圳市南山区东滨路与南光路交汇处，永新汇3号楼,1万-1.5万,岗位职责:1、负责公司爬虫系统，进行电商或社交平台等平台信息的抓取和分析；数据的采集、清洗、整理与分析;2、设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量。4、研究数据挖掘模型，参与数据挖掘模型的构建、维护、部署和评估工作；5、利用机器学习和NLP技术从海量异构数据中进行有价值跨境电商信息的挖掘和整合;任职资格:1、本科及以上学历，4年以上相关工作经验；构建过分布式爬虫系统者优先；2、有数据分析研究经验，并深入理解常见的数据挖掘、机器学习、深度学习算法原理；3、理解常用数据结构和算法，能根据具体情况灵活应用，了解海量数据处理，有使用Hive/Spark SQL分析海量数据的能力和经验；4、具有较好的沟通、协作和学习能力，良好的团队合作精神；
腾讯-APP后端开发，python+PHP,本科,1-3年,中软国际科技服务有限公司深圳分公司,腾讯科兴科学园,面议,"岗位职责：负责项目APP的研发岗位要求：1.对计算机相关基础知识有较好理解，了解常用数据结构和算法2.重点掌握Python开发，能熟悉PHP开发最好；3.熟悉常用 web 开发相关技术，熟悉django框架，熟悉前端框架jquery,熟悉js和css，熟悉kendo UI更佳4.掌握关系数据库及 SQL 相关知识，了解基本的设计和优化原则5.良好的编码风格及测试习惯6.良好的沟通能力，有团队合作精神和责任感7.有很强的学习能力，有主动性和上进心，能承担压力联系人：包女士 1/8/5/2/9/0/8/7/4/5/2（WX同步）邮箱：183/59/08/61@qq.com"
python开发工程师,本科,3-5年,深圳市名图信息技术有限公司,深圳市福田区新洲十一街138号万基商务大厦15F,9千-1.7万,主要工作：负责自动化测试平台开发任职要求：1、 计算机软件相关专业，大专以上学历，3年以上相关工作经验；2、 对python语言较为熟悉，有web后台开发经验；3、 熟练使用Python语言，会使用框架Django、flask、tornado;4、 会appium自动化测试优先
Python开发工程师,本科,1-3年,深圳市巴伦技术股份有限公司,南山区沙河街道沙河西路3011号白沙科技产业园一楼B区,8千-1.2万,岗位职责：主要负责公司业务系统的开发与实施任职要求：1.计算机相关专业，本科及以上学历，1年以上开发经验；2.精通Python语言；3.熟悉Linux操作系统；4.熟悉PostgreSQL数据库，能熟练编写sql语句；5.掌握odoo/OpenERP相关技术和实际项目经验优先；6.有HTML5开发经验优先；7.需有较强的自学能力和技术攻关能力；员工福利：1、享有国家法定节假日、社保公积金及多至15天带薪年假，五天八小时工作制；2、卓越员工有机会参与公司员工持股计划，分享公司成长溢价；3、公司提供完善的专业知识培训和行业销售技能培训，帮助不同层面的业务人员在职业、事业的不同阶段快速成长为业内出色的技术专才；4、公司每年定期组织员工和家属旅游；5、公司崇尚自由、民主、开放的工作氛围，给予员工充分发挥能力的平台；6、公司提供公平的职业晋升平台，给予勤奋、有能力的员工快速的成长空间。
Python/Golang后台开发工程师 ,大专,1-3年,深圳市响螺文化传媒企业,粤兴五道与粤兴四道交叉口西150米航空航天大厦2号楼3A03（科苑D口）,1万-2万,职位诱惑：双休、餐补、五险一金、弹性工作制、薪资高职位描述：1、负责Web后台服务的开发与维护；2、大专及以上学历，2年以上后台开发经验；3、熟练Python/Golang；4、熟悉常用关系型数据库和非关系型数据库，熟Postgresql、Redis；5、熟悉HTTP/HTTPS协议；6、有良好的编码习惯，追求代码质量，有解决复杂问题的能力，自我驱动，熟练阅读英文资料；7、具有良好的沟通能力和团队合作意识，能承受一定的工作压力。
python开发工程师,本科,1-3年,深圳市问鼎资讯有限公司,深圳市南山区朗山路13号紫光信息港C栋8楼,1万-2万,移动学习行业（简单理解就是前几年elearing行业+手机端）；产品是移动学习平台（简单理解就是企业内部使用的培训管理应用软件）。自有行业软件产品开发、实施，客户全是大集团客户。可以积累开发经验，本行业应用经验，也可以给后续简历添光增彩。公司有20年历史，行业top5，行业黄埔军校。非创业公司，倒闭非常困难。不是什么ABCD轮子公司。非外包！非外包！非外包！我们做的自己的产品！要求:1. 统招本科及以上毕业。2.工作经验。2年以上3.熟练掌握python。熟悉掌握python服务器框架django或者其他4.熟练掌握开源开发技术以及开发工具，git、vscode、google、github，了解docker项目:django、djangorestframework、docker
python开发,本科,1-3年,中软国际科技服务有限公司深圳分公司,深圳市南山区南山智园A1栋（地铁五号线 塘朗站D出口旁）,面议,1、负责安全产品的后端开发；2、独立分析、评估并解决问题，能够在较短时间内寻求最优解决方案；岗位要求：1、2年以上开发经验，能够熟练使用python语言；2、熟悉Linux，能进行基本的常用操作；3、熟悉网络HTTP、TCP等网络协议，熟悉网络编程；4、具有OA、CRM等系统开发经验者优先5、责任心强，自我驱动力强，具有良好的沟通和团队协作能力，主动，好学。
python工程师,大专,3-5年,深圳市吉屋网络技术有限公司,软件产业基地4A栋206,8千-1.5万,岗位职责：1.配合部门搭建数据仓库2.对必要��站进行抓取，对数据进行，抽取，清洗，形成元数据3.利用算法，进行自动投放SEM关键字，不断优化算法获得最佳投放效果4.对行为大数据进行分析，利用算法形成画像，不断优化岗位要求：1、有1年以上经验优先考虑，统招大专以上学历；2、1年以上的Python开发经验
python开发/数据采集,不限,不限,深圳市创联测试技术有限公司,深圳市宝安区后瑞地铁站草围社区宝安大道5010号西部硅谷A座706,3.5千-7千,岗位职责：1、协助设计、开发、维护爬虫系统及数据抓取；；2、收集竞争对手数据并分析优劣势；；3、参与新平台开发；4、协助编写接口。任职要求：1、大专以上学历，理工科专业优先，条件优秀者可释放放宽；2、喜欢互联网，愿意与公司一起发展；3、责任心强、团队合作意识，良好的沟通能力、思路清晰、学习能力。公司福利1、5天7小时制，六险一金；2、每周三、周五下午茶福利；3、法定节假日有对应节假日福利；4、一年一次国内游，一次国外游；；5、年终奖丰厚，转正员工至少1个月工资；；6、18、19届实习生或储备技术人才岗有300/月的餐补，可向公司申请免费住宿。
